# Spot-check: guard correctly LEAVES read-only /tmp references.
# Classification rule: guard-flagged => disposition=fix; unflagged /tmp literals => leave (precision confirmed below).
# SC1 tools/agent-runtime-probes/tests/test_bot_errors_proof_ladder.py:91 — Path("/tmp/elsewhere/file.py") construction only, passed to rel(); no write op. NOT flagged. LEAVE.
# SC2 tools/agent-runtime-probes/tests/test_bot_errors_proof_ladder.py:93 — assert result == "/tmp/elsewhere/file.py" string comparison. NOT flagged. LEAVE.
# SC3 tools/agent-runtime-probes/tests/test_runtime_doctor.py:70 — "command": ["node", "/tmp/tool.js"] dict fixture literal, no file write. NOT flagged. LEAVE.
# SC4 tools/agent-runtime-probes/codex_rules_inventory_probe.py:73 — if token.startswith("/tmp/") string predicate, no write. NOT flagged. LEAVE.
file,line,kind,disposition,reason
scripts/cutover.sh,87,sh-redirect,fix,shell redirect to /tmp — world-writable predictable log path
scripts/cutover.sh,131,sh-redirect,fix,shell redirect to /tmp — world-writable predictable log path
scripts/cutover.sh,217,sh-redirect,fix,shell redirect to /tmp via tee — world-writable predictable log path
tests/fixtures/insecure-tempfile/red/sample.py,3,py-mktemp,fix,tempfile.mktemp() predictable path — TOCTOU race condition
tests/fixtures/insecure-tempfile/red/sample.py,4,py-mktemp,fix,tempfile.mktemp() predictable path — TOCTOU race condition
tests/fixtures/insecure-tempfile/red/sample.py,5,py-tmp-write,fix,/tmp write-target — predictable world-writable path
tests/fixtures/insecure-tempfile/red/sample.py,6,py-tmp-write,fix,/tmp write-target — predictable world-writable path
tests/fixtures/insecure-tempfile/red/sample.py,7,py-tmp-write,fix,/tmp write-target via pathlib.open — predictable world-writable path
tests/fixtures/insecure-tempfile/red/sample.py,8,py-tmp-write,fix,/tmp write-target via pathlib.open mode= — predictable world-writable path
tests/fixtures/insecure-tempfile/red/sample.sh,2,sh-redirect,fix,shell redirect to /tmp — world-writable predictable path
tests/fixtures/insecure-tempfile/red/sample.sh,3,sh-mktemp,fix,bare mktemp no private dir — predictable shared namespace
tests/fixtures/insecure-tempfile/red/sample.sh,4,sh-redirect,fix,tee -a to /tmp — world-writable predictable path
tests/fixtures/insecure-tempfile/red/sample.sh,5,sh-redirect,fix,tee --append to /tmp — world-writable predictable path
tools/agent-runtime-probes/tests/test_enrichment_control_fixtures.py,149,py-mktemp,fix,tempfile.mktemp() predictable path — TOCTOU race condition
tools/agent-runtime-probes/tests/test_enrichment_control_fixtures.py,159,py-mktemp,fix,tempfile.mktemp() predictable path — TOCTOU race condition
tools/agent-runtime-probes/tests/test_enrichment_control_fixtures.py,168,py-mktemp,fix,tempfile.mktemp() predictable path — TOCTOU race condition
tools/agent-runtime-probes/tests/test_enrichment_control_fixtures.py,186,py-mktemp,fix,tempfile.mktemp() predictable path — TOCTOU race condition
tools/agent-runtime-probes/tests/test_enrichment_control_fixtures.py,198,py-mktemp,fix,tempfile.mktemp() predictable path — TOCTOU race condition
tools/agent-runtime-probes/tests/test_enrichment_control_fixtures.py,233,py-mktemp,fix,tempfile.mktemp() predictable path — TOCTOU race condition
tools/agent-runtime-probes/tests/test_enrichment_control_fixtures.py,254,py-mktemp,fix,tempfile.mktemp() predictable path — TOCTOU race condition
tools/agent-runtime-probes/tests/test_enrichment_control_fixtures.py,266,py-mktemp,fix,tempfile.mktemp() predictable path — TOCTOU race condition
tools/agent-runtime-probes/tests/test_enrichment_control_fixtures.py,290,py-mktemp,fix,tempfile.mktemp() predictable path — TOCTOU race condition
tools/agent-runtime-probes/tests/test_enrichment_control_fixtures.py,305,py-mktemp,fix,tempfile.mktemp() predictable path — TOCTOU race condition
tools/agent-runtime-probes/tests/test_secret_guard_canary.py,265,py-mktemp,fix,tempfile.mktemp() predictable path — TOCTOU race condition
tools/agent-runtime-probes/tests/test_secret_guard_canary.py,277,py-mktemp,fix,tempfile.mktemp() predictable path — TOCTOU race condition
tools/agent-runtime-probes/tests/test_secret_guard_canary.py,289,py-mktemp,fix,tempfile.mktemp() predictable path — TOCTOU race condition
tools/agent-runtime-probes/tests/test_secret_guard_canary.py,300,py-mktemp,fix,tempfile.mktemp() predictable path — TOCTOU race condition
tools/agent-runtime-probes/tests/test_secret_guard_canary.py,322,py-mktemp,fix,tempfile.mktemp() predictable path — TOCTOU race condition
tools/agent-runtime-probes/tests/test_secret_guard_canary.py,334,py-mktemp,fix,tempfile.mktemp() predictable path — TOCTOU race condition
tools/agent-runtime-probes/tests/test_secret_guard_canary.py,746,py-mktemp,fix,tempfile.mktemp() predictable path — TOCTOU race condition
tools/agent-runtime-probes/tests/test_secret_guard_canary.py,760,py-mktemp,fix,tempfile.mktemp() predictable path — TOCTOU race condition
tools/agent-runtime-probes/tests/test_secret_guard_canary.py,772,py-mktemp,fix,tempfile.mktemp() predictable path — TOCTOU race condition
tools/agent-runtime-probes/tests/test_secret_guard_canary.py,785,py-mktemp,fix,tempfile.mktemp() predictable path — TOCTOU race condition
